#Time (s),Channel 1 (V),Channel 2 (V)
-7.544e-05,0.9952108782075384,0.4964994477208432
-7.541999999999999e-05,0.9942052186937613,0.4964994477208432
-7.54e-05,0.995881317883389,0.4975189094627784
-7.538e-05,0.9972221972350925,0.4995578329466501
-7.536e-05,0.9975574170730183,0.4992180123660048
-7.533999999999999e-05,0.9978926369109439,0.4998976535272953
-7.531999999999999e-05,0.9978926369109444,0.499218012366005
-7.53e-05,0.9992335162626467,0.4995578329466501
-7.528e-05,1.001915274966052,0.4998976535272953
-7.525999999999999e-05,1.000909615452275,0.5009171152692309
-7.523999999999999e-05,0.9992335162626476,0.5009171152692308
-7.522e-05,1.0012448352902,0.5005772946885858
-7.52e-05,1.000909615452275,0.5009171152692309
-7.518e-05,1.002585714641904,0.5019365770111665
-7.515999999999999e-05,1.003591374155681,0.500917115269231
-7.514e-05,1.003591374155681,0.501256935849876
-7.512e-05,1.004597033669458,0.5022763975918116
-7.51e-05,1.003591374155681,0.5026162181724569
-7.507999999999999e-05,1.003256154317755,0.5012569358498761
-7.506e-05,1.004932253507383,0.5032958593337464
-7.504e-05,1.005267473345309,0.5015967564305213
-7.502e-05,1.004597033669458,0.5015967564305213
-7.499999999999999e-05,1.004932253507384,0.5029560387531021
-7.497999999999999e-05,1.004597033669458,0.5026162181724565
-7.496e-05,1.004932253507384,0.5015967564305213
-7.494e-05,1.005937913021161,0.5022763975918116
-7.491999999999999e-05,1.004261813831532,0.5026162181724569
-7.489999999999999e-05,1.00292093447983,0.502276397591811
-7.488e-05,1.003926593993606,0.5009171152692315
-7.486e-05,1.003256154317755,0.5029560387531021
-7.483999999999999e-05,1.004597033669458,0.5019365770111665
-7.481999999999999e-05,1.002585714641904,0.500917115269231
-7.48e-05,1.003256154317755,0.501256935849876
-7.478e-05,1.003256154317755,0.5022763975918116
-7.476e-05,1.002920934479829,0.5015967564305213
-7.473999999999999e-05,1.003256154317755,0.5005772946885857
-7.472e-05,1.000574395614351,0.5009171152692308
-7.47e-05,1.000239175776424,0.5002374741079405
-7.468e-05,0.9999039559384981,0.4998976535272953
-7.465999999999999e-05,0.9995687361005724,0.4995578329466501
-7.463999999999999e-05,0.9988982964247203,0.4992180123660047
-7.462e-05,0.9972221972350925,0.4988781917853596
-7.46e-05,0.9968869773971668,0.4985383712047144
-7.457999999999999e-05,0.9968869773971668,0.4975189094627789
-7.455999999999999e-05,0.9968869773971663,0.4985383712047148
-7.454e-05,0.9955460980454641,0.4992180123660048
-7.452e-05,0.9938699988558356,0.4981985506240693
-7.449999999999999e-05,0.9925291195041328,0.496159627140198
-7.447999999999999e-05,0.9921938996662071,0.4968392683014884
-7.446e-05,0.9918586798282816,0.4968392683014884
-7.444e-05,0.9901825806386529,0.4948003448176173
-7.442e-05,0.9888417012869503,0.4948003448176173
-7.439999999999999e-05,0.9871656020973217,0.4934410624950364
-7.438e-05,0.9881712616110984,0.4927614213337463
-7.436e-05,0.9854895029076933,0.4924216007531008
-7.434e-05,0.9848190632318419,0.4920817801724555
-7.431999999999999e-05,0.9821373045284364,0.4920817801724555
-7.43e-05,0.9814668648525853,0.4903826772692303
-7.428e-05,0.9797907656629565,0.4914021390111651
-7.426e-05,0.9791203259871051,0.4893632155272939
-7.423999999999999e-05,0.9761033474457739,0.4883437537853583
-7.421999999999999e-05,0.9747624680940712,0.4876641126240679
-7.42e-05,0.9750976879319968,0.4876641126240679
-7.418e-05,0.973756808580294,0.4869844714627775
-7.415999999999999e-05,0.9710750498768884,0.4852853685595515
-7.413999999999999e-05,0.9717454895527381,0.4842659068176155
-7.412e-05,0.9677228514976333,0.4835862656563258
-7.41e-05,0.9653763126321517,0.4815473421724542
-7.408e-05,0.9657115324700773,0.4818871627530994
-7.405999999999999e-05,0.9633649936045975,0.481207521591809
-7.404e-05,0.9610184547391187,0.480527880430519
-7.402e-05,0.9586719158736379,0.479508418688583
-7.4e-05,0.9573310365219351,0.4788287775272926
-7.397999999999999e-05,0.9539788381426781,0.4771296746240665
